,#genre#

📺央视频道,#genre#
CCTV-1,http://[2409:8087:8:21::10]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPPFD3HVWEytEVyliOxehfe%2CEND
CCTV-1,http://[2409:8087:8:21::10]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226432/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPPFD3HVWEytEVyliOxehfe%2CEND
CCTV-1,http://[2409:8087:8:21::5]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226432/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPPFD3HVWEytEVyliOxehfe%2CEND
CCTV-1,http://[2409:8087:8:21::5]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPPFD3HVWEytEVyliOxehfe%2CEND
CCTV-1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226432/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPPFD3HVWEytEVyliOxehfe%2CEND
CCTV-1,http://[2409:8087:8:21::11]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226933/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPPFD3HVWEytEVyliOxehfe%2CEND
CCTV-1,http://[2409:8087:8:21::5]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226338/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPPFD3HVWEytEVyliOxehfe%2CEND
CCTV-1,http://[2409:8087:8:21::11]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226432/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPPFD3HVWEytEVyliOxehfe%2CEND
CCTV-1,http://[2409:8087:8:21::19]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226338/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPPFD3HVWEytEVyliOxehfe%2CEND
CCTV-1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226338/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPPFD3HVWEytEVyliOxehfe%2CEND
CCTV-1,http://[2409:8087:8:21::11]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226338/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPPFD3HVWEytEVyliOxehfe%2CEND
CCTV-1,http://[2409:8087:8:21::10]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226338/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPPFD3HVWEytEVyliOxehfe%2CEND
CCTV-1,http://39.134.61.217/PLTV/88888888/224/3221226415/index.m3u8
CCTV-1,http://39.135.126.62/PLTV/88888888/224/3221226415/index.m3u8
CCTV-1,http://39.134.61.211/PLTV/88888888/224/3221226415/index.m3u8
CCTV-1,http://39.135.126.62/PLTV/88888888/224/3221226746/index.m3u8
CCTV-1,http://39.134.61.217/PLTV/88888888/224/3221226746/index.m3u8
CCTV-1,http://39.134.61.217/PLTV/88888888/224/3221226443/index.m3u8
CCTV-1,http://39.135.126.62/PLTV/88888888/224/3221226443/index.m3u8
CCTV-1,http://39.134.61.211/PLTV/88888888/224/3221226443/index.m3u8
CCTV-1,http://39.134.61.217/PLTV/88888888/224/3221226896/index.m3u8
CCTV-1,http://39.135.126.62/PLTV/88888888/224/3221226896/index.m3u8
CCTV-1,http://39.134.61.211/PLTV/88888888/224/3221226896/index.m3u8
CCTV-1,http://39.134.61.211/PLTV/88888888/224/3221227090/index.m3u8
CCTV-1,http://39.135.126.62/PLTV/88888888/224/3221227090/index.m3u8
CCTV-1,http://39.135.126.62/PLTV/88888888/224/3221226556/index.m3u8
CCTV-1,http://39.134.61.211/PLTV/88888888/224/3221226556/index.m3u8
CCTV-1,http://39.135.126.62/PLTV/88888888/224/3221226750/index.m3u8
CCTV-1,http://39.134.61.217/PLTV/88888888/224/3221226556/index.m3u8
CCTV-1,http://39.135.126.62/PLTV/88888888/224/3221226748/index.m3u8
CCTV-1,http://39.135.126.62/PLTV/88888888/224/3221227086/index.m3u8
CCTV-1,http://39.134.61.211/PLTV/88888888/224/3221227086/index.m3u8
CCTV-1,http://39.134.61.218/PLTV/88888888/224/3221226896/index.m3u8
CCTV-1,http://39.134.61.219/PLTV/88888888/224/3221226896/index.m3u8
CCTV-1,http://39.134.61.219/PLTV/88888888/224/3221227090/index.m3u8
CCTV-1,http://39.134.61.218/PLTV/88888888/224/3221227090/index.m3u8
CCTV-1,http://39.134.61.219/PLTV/88888888/224/3221227086/index.m3u8
CCTV-1,http://39.134.61.218/PLTV/88888888/224/3221227086/index.m3u8
CCTV-1,http://39.134.61.218/PLTV/88888888/224/3221226443/index.m3u8
CCTV-1,http://39.134.61.219/PLTV/88888888/224/3221226443/index.m3u8
CCTV-1,http://39.134.61.217/PLTV/88888888/224/3221227090/index.m3u8
CCTV-1,http://39.134.61.217/PLTV/88888888/224/3221227086/index.m3u8
CCTV-1,http://39.134.61.218/PLTV/88888888/224/3221226415/index.m3u8
CCTV-1,http://39.134.61.218/PLTV/88888888/224/3221226556/index.m3u8
CCTV-1,http://39.134.61.218/PLTV/88888888/224/3221226750/index.m3u8
